host_since,first_review,neighbourhood_cleansed
2012-12-03,2015-07-02,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2013-10-26,2013-11-22,ΠΑΓΚΡΑΤΙ
2012-02-05,2015-04-03,ΚΥΨΕΛΗ
2012-01-09,2014-08-01,ΚΟΛΩΝΑΚΙ
2011-11-05,2016-01-12,ΛΥΚΑΒΗΤΤΟΣ
2013-11-13,2015-09-20,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2013-11-10,2013-12-07,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2013-11-18,2014-01-03,ΝΕΑ ΚΥΨΕΛΗ
2013-07-19,2014-01-06,ΑΜΠΕΛΟΚΗΠΟΙ
2013-10-25,2015-09-26,ΝΕΟΣ ΚΟΣΜΟΣ
2011-06-27,2014-05-27,ΚΕΡΑΜΕΙΚΟΣ
2012-01-09,2015-04-29,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2013-12-07,2019-07-19,ΚΟΛΩΝΑΚΙ
2013-12-12,2014-05-27,ΚΟΛΩΝΑΚΙ
2013-12-20,2014-01-21,ΚΥΨΕΛΗ
2018-09-20,2014-04-27,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2013-12-29,2013-12-31,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2013-03-16,2014-09-20,ΑΜΠΕΛΟΚΗΠΟΙ
2013-09-23,2015-02-08,ΝΙΡΒΑΝΑ
2014-01-22,2014-05-12,ΣΤΑΔΙΟ
2011-12-01,2014-04-20,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-09-09,2014-11-16,ΓΚΥΖΗ
2014-01-30,2014-02-15,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2013-10-28,2016-07-04,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2014-02-09,2014-04-14,ΒΟΤΑΝΙΚΟΣ
2014-02-17,2014-04-16,ΚΟΛΩΝΑΚΙ
2014-02-20,2014-04-14,ΖΑΠΠΕΙΟ
